,,,,,,,,,,,
,Комбикорм,,,,,,,,,,
,Зерно,,,,,,,,,,
,Зоотовары,,,,,,,,,,
,Инкубатор,,,,,,,,,,
,Клетки,,,,,,,,,,
,Поилки,,,,,,,,,,
,Рассада,,,,,,,,,,
,Животные,,,,,,,,,,
,Производство,,,,,,,,,,
,Средства защиты,,,,,,,,,,
,,,,,,,,,,,
,В продажее поивились фейерверги,,,,,,,,,,
,Елки,,,,,,,,,,
,Гирлянды,,,,,,,,,,
, ,,,,,,,,,,
,,,,,,,,,,,
,Прайс-лист,,,,,,,,,,
,17 Мая 2016 г.,,,,,,,,,,
,,,,,,,,,,,
,Наименование товаров,Роничные,,,,,,,,,
,,(включая НДС и НП),,,Куры,Гуси утки,Перепела,Индейка,Свинья,"Крупно рогатый скот, козы овцы","Кролики,нутрии"
,ПЗК-91 для кроликов,20.00 руб,кг,1,,,,,,,1
,ПК-1 П для перепелов 7 недель и старше,30.00 руб,кг,1,,,1,,,,
,ПК-1/2 для кур несушек 48 нед. и старше,24.00 руб,кг,1,1,,,,,,
,ПК-1/2 для кур специальный ЕРШ,18.00 руб,кг,1,1,,,,,,
,ПК-1/2 ПЗ для кур несушек 48 нед. и старше,16.00 руб,кг,1,1,,,,,,
,ПК-10 для взрослых индеек,25.00 руб,кг,1,,,,1,,,
,ПК-2 для молод. Кур 1-7 нед по заказу,39.00 руб,кг,1,1,,,,,,
,ПК-30 для гусей родительского стада,29.00 руб,кг,1,,1,,,,,
,ПК-4 для молод кур 14-17 нед.,25.00 руб,кг,1,,,,,,,
,ПК-5 для бройлеров 1-4 нед,39.00 руб,кг,1,1,1,1,1,,,
,ПК-6 для бройлеров 5 нед и старше,37.00 руб,кг,1,1,,,,,,
,СК Смесь кормовая,17.00 руб,кг,1,1,1,,1,1,1,1
,Кормушки,,,1,,,,,,,
,Бункерная кормушка для кроликов-гигантов( бол),600.00 руб,шт,1,,,,,,,1
,Бункерная кормушка из оцинковки для кроликов 1 кг,336.00 руб,шт,1,,,,,,,1
,Бункерная кормушка из оцинковки для кроликов 3 кг,417.00 руб,шт,1,1,1,1,1,,,1
,Бункерная кормушка из оцинковки на 10 л,476.00 руб,шт,1,1,1,1,1,,,
,Бункерная кормушка оцинкованная на 25 л,807.00 руб,шт,1,1,1,1,1,,,
,Навесная кормушка  для перепелов 89 см,332.00 руб,шт,1,,,1,,,,
,Навесная кормушка для кур 44 см,321.00 руб,шт,1,1,1,,1,,,
,Навесная кормушка для кур 80 см,387.00 руб,шт,1,1,1,,1,,,
,Автопоилка для молодняка птиц,238.00 руб,шт,1,1,,,,,,
,Бак для воды,960.00 руб,шт,1,1,,,,,,
,Инфракрасный нагреватель,714.00 руб,шт,1,1,1,1,1,,,
,Кормушка бункерная для цыплят 1 л,179.00 руб,шт,1,1,1,,1,,,
,Кормушка бункерная для цыплят 3 кг,227.00 руб,шт,1,1,1,,1,,,
,Кормушка бункерная прозрачная для кур 10 л,580.00 руб,шт,1,1,1,,1,,,
,Кормушка бункерная с крышкой 6кг. для кур (КБ-6),445.00 руб,шт,1,1,1,,1,,,
,Кормушка под банку,119.00 руб,шт,1,1,1,,1,,,
,Кормушка/поилка лотковая 50см для цыплят (КЖ-50),250.00 руб,шт,1,1,1,1,1,,,
,Ниппелная поилка ПКН-6 для взрослого поголовья птиц,30.00 руб,шт,1,1,,1,1,,,
,Ниппель ПКН-6/360 для бройлеров и перепелов,40.00 руб,шт,1,1,,1,1,,,
,Овоскоп,595.00 руб,шт,1,1,1,1,1,,,
,Поилка вакуумная на 10 литров,548.00 руб,шт,1,1,1,,1,,,
,Поилка вакуумная на 3 литра,262.00 руб,шт,1,1,1,,1,,,
,Поилка вакуумная на 5 литров,346.00 руб,шт,1,1,1,,1,,,
,"Поилка вакуумная на 7,5 литров",417.00 руб,шт,1,1,1,,1,,,
,Поилка двойная с креплением и каплеулавливателем ПКНК-24/360,100.00 руб,шт,1,1,,,1,,,
,Поилка для кроликов ПКН-10 в комплекте с крепление,54.00 руб,шт,1,,,,,,,1
,Поилка для цыплят 1.5 л,179.00 руб,шт,1,1,,,1,,,
,"Поилка микрочашечная ПМЧ-10 для перепелов, тройник,крепеж отдельно",54.00 руб,шт,1,,,1,,,,
,Поилка ниппельная ПСН-33 для свиней,179.00 руб,шт,1,,,,,1,,
